Norma,Cláusula / criterio,Activo afectado,Comprobación,Resultado,Evidencia,Pendiente,Fuente URL
WCAG 2.2,1.1.1 Non-text Content,Presencias cuando comuniquen significado funcional,Existe descripción accesible y regla de alternativa textual; falta verificar el enlace programático en UI real.,PENDING HUMAN TEST,specs/accessible-descriptions.json,Integrar y probar nombre/alternativa en la UI de Fase 3.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,1.4.1 Use of Color,Matriz / Web / IA / Educa,La familia conserva diferenciación en monocromo y silueta; el color no es el único diferenciador visual.,PASS,boards/SABIK_VISUAL_FAMILY_MONO_V1.webp; boards/SABIK_VISUAL_FAMILY_SILHOUETTES_V1.webp,Revalidar con estados B3 cuando existan.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,1.4.3 Contrast (Minimum),Texto del sistema verbal y documentación,Tokens de texto: #143161 sobre blanco = 12.79:1; #4E6387 sobre blanco = 6.07:1.,PASS,specs/palettes.json,Recalcular en cada contexto de UI final.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,1.4.4 Resize Text,Láminas raster de referencia,"Las láminas son evidencia visual, no interfaz web con texto redimensionable.",NOT APPLICABLE,boards/*.webp,En UI real el texto debe ser HTML/texto real y verificarse al 200 %.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,1.4.10 Reflow,Láminas raster de referencia,No aplica a una lámina raster estática como evidencia de identidad.,NOT APPLICABLE,boards/*.webp,Verificar reflow en integración web y documentación responsiva.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,1.4.11 Non-text Contrast,Presencia usada como indicador o componente funcional,Las formas pastel no se declaran por sí solas como indicador de contraste suficiente; se exige texto/estado programático y componente accesible.,PENDING HUMAN TEST,specs/usage-rules.md,Medir contraste del control/estado real en Fase 3.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,"2.2.2 Pause, Stop, Hide",Presencias PRESENTE,Los activos actuales son estáticos; no existe movimiento que detener.,NOT APPLICABLE,specs/tokens.json,Aplicar en B3 si aparece animación continua.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,2.3.1 Three Flashes or Below Threshold,Presencias PRESENTE,No hay destellos ni animación en la entrega actual.,PASS,assets/masters/*.png,Revalidar cualquier animación futura.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,2.4.7 Focus Visible,Activos de identidad estáticos,No son controles interactivos.,NOT APPLICABLE,assets/masters/*.png,Verificar en controles reales de Fase 3.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,2.4.11 Focus Not Obscured (Minimum),Activos de identidad estáticos,No son controles interactivos.,NOT APPLICABLE,assets/masters/*.png,Verificar en componentes reales de Fase 3.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,"4.1.2 Name, Role, Value",Presencia si forma parte de un widget personalizado,"El paquete prohíbe usar la imagen como único canal, pero no implementa widgets.",PENDING HUMAN TEST,specs/usage-rules.md,Probar semántica nativa/ARIA solo si el componente lo requiere.,https://www.w3.org/TR/WCAG22/
WCAG 2.2,5.2 Conformance Requirements,Paquete visual estático,WCAG define conformidad para páginas completas; este paquete no declara conformidad global.,NOT APPLICABLE,README.md,La declaración AA solo podrá hacerse sobre páginas/procesos completos con evidencia.,https://www.w3.org/TR/WCAG22/#conformance-reqs
ISO/IEC 40500:2025,WCAG 2.2 · edición 2 (baseline del proyecto),Matriz de cumplimiento,Se verificó que ISO/IEC 40500:2025 incorpora WCAG 2.2 y que existe una revisión DIS posterior en desarrollo.,PASS,compliance/SABIK_VISUAL_COMPLIANCE_MATRIX_V1.xlsx,Vigilar futura sustitución; no cambiar silenciosamente la versión.,https://www.iso.org/standard/91029.html
EN 301 549 V4.1.1 (2026-09),4.2.2 Usage with limited vision,Escalas 64/40/32/24,Se define 32 px como mínimo recomendado y se generan pruebas; falta validación con baja visión en contexto real.,PENDING HUMAN TEST,boards/SABIK_VISUAL_FAMILY_SCALES_V1.webp,Prueba humana y zoom real en UI.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),4.2.3 Usage without perception of colour,Versiones sin color,Existen monocromo y silueta; las cuatro ramas conservan estructura diferenciada sin color.,PASS,boards/SABIK_VISUAL_FAMILY_MONO_V1.webp; boards/SABIK_VISUAL_FAMILY_SILHOUETTES_V1.webp,Revalidar estados B3 sin color.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),4.2.9 Minimize photosensitive seizure triggers,Presencias PRESENTE,Entrega estática sin destellos.,PASS,assets/masters/*.png,Revisar en Fase 3 si se incorpora movimiento.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),"4.2.10 Usage with limited cognition, language or learning",Sistema verbal y documentación,Se adopta lenguaje directo y una explicación corta; la comprensión real requiere prueba con usuarios.,PENDING HUMAN TEST,specs/verbal-system.json; specs/usage-rules.md,Prueba de comprensión con público diverso.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),9.1.4 Distinguishable,Futura integración web,La identidad no sustituye los requisitos de contraste y percepción de la interfaz.,PENDING HUMAN TEST,specs/usage-rules.md,Auditar la implementación web completa.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),9.2.3 Seizures and physical reactions,Presencias PRESENTE / futura animación,PRESENTE es estático.,PASS,assets/masters/*.png,Auditar B3 cuando exista animación.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
EN 301 549 V4.1.1 (2026-09),9.3 Understandable,Sistema verbal y futura UI,La redacción oficial es breve y explícita; la comprensión en tarea aún no está probada.,PENDING HUMAN TEST,specs/verbal-system.json,Prueba de comprensión y uso en contexto.,https://www.etsi.org/deliver/etsi_en/301500_301599/301549/04.01.01_60/en_301549v040101p.pdf
WAI-ARIA 1.2,Uso de semántica para widgets personalizados,Futura integración interactiva,La identidad estática no necesita ARIA; la regla del proyecto es usar HTML nativo antes que ARIA.,NOT APPLICABLE,specs/usage-rules.md,Aplicar y probar solo cuando existan widgets personalizados.,https://www.w3.org/TR/wai-aria-1.2/
WAI-ARIA APG,Native HTML before ARIA,Futura integración interactiva,Regla documentada: no introducir ARIA si HTML nativo ofrece semántica equivalente.,PASS,specs/usage-rules.md,Verificar implementación concreta en Fase 3.,https://www.w3.org/WAI/ARIA/apg/practices/structural-roles/
ISO 9241-171:2025,Software accessibility · baseline de diseño,Futura implementación de Sabik,El estándar vigente se registra como baseline; el paquete visual por sí solo no demuestra accesibilidad de software.,PENDING HUMAN TEST,README.md,Auditoría de software y pruebas con tecnología de apoyo; mapeo de cláusulas con texto completo autorizado.,https://www.iso.org/standard/86308.html
ISO 9241-210:2019,Human-centred design,Proceso de diseño,"Existe iteración y revisión humana de dirección, pero falta evidencia de pruebas representativas con usuarios finales.",PENDING HUMAN TEST,specs/normalization-evidence.md,Planificar pruebas con usuarios; versión confirmada vigente en 2025.,https://committee.iso.org/standard/77520.html?browse=tc
ISO 9241-11:2018,Usability: definitions and concepts,Uso real de Sabik,"Efectividad, eficiencia y satisfacción no pueden inferirse de los activos visuales.",PENDING HUMAN TEST,compliance/SABIK_VISUAL_COMPLIANCE_MATRIX_V1.xlsx,Medir usabilidad en contexto con tareas reales.,https://www.iso.org/standard/63500.html
ISO 9241-112:2025,Principles for the presentation of information,Presentación de identidad y futura UI,La versión vigente se registra; la evaluación completa exige contexto interactivo y texto íntegro de la norma.,PENDING HUMAN TEST,boards/SABIK_VISUAL_FAMILY_FINAL_V1.webp,Evaluación de percepción/comprensión en UI real y mapeo de cláusulas autorizado.,https://www.iso.org/standard/87518.html
ISO 9241-125:2017,Guidance on visual presentation of information,Familia visual,La familia usa organización visual coherente y versiones sin color; no se declara conformidad integral solo con la lámina.,PENDING HUMAN TEST,boards/SABIK_VISUAL_FAMILY_FINAL_V1.webp,"Validar percepción, memoria y organización en contextos reales; revisar texto completo de la norma.",https://committee.iso.org/standard/64839.html?browse=tc
ISO 24495-1:2023,Principio 1 · Readers get what they need (relevant),Sistema verbal oficial,Se elimina el lema obsoleto y se conserva solo información que explica qué es y qué hace Sabik.,PASS,specs/verbal-system.json,Mantener congelada la redacción oficial.,https://www.iso.org/standard/78907.html
ISO 24495-1:2023,Principio 2 · Readers can easily find what they need (findable),Lockup y documentación,"Marca, frase principal y explicación se presentan juntas y con jerarquía estable.",PASS,boards/SABIK_VERBAL_LOCKUP_T1_V1.webp,Mantener esta jerarquía en UI y documentos.,https://www.iso.org/obp/ui/#iso:std:iso:24495:-3:ed-1:v1:en
ISO 24495-1:2023,Principio 3 · Readers can easily understand what they find (understandable),Sistema verbal oficial,La explicación usa palabras comunes y una sola idea principal.,PASS,specs/verbal-system.json,Confirmar comprensión con usuarios diversos.,https://www.iso.org/obp/ui/#iso:std:iso:24495:-3:ed-1:v1:en
