id,source_concept,final_layer,status,authoritative_source,documental_correction,s2_rule
DG-01,"ready / listo","B3 + UI",COMPATIBLE,"#182 + #163","Mapear baseline semántico a PRESENTE","PRESENTE puede coexistir con UI ready"
DG-02,"retrieving / buscando","UI_LAYER",COMPATIBLE_WITH_CORRECTION,"#163 + adenda","Retirar lectura como estado B3","Texto/progreso UI; B3 solo cambia si hay función B3 real"
DG-03,"composing / componiendo","UI_LAYER",COMPATIBLE_WITH_CORRECTION,"#163 + adenda","Retirar lectura thinking/B3","No crear estado B3"
DG-04,"presenting / respuesta lista","UI_LAYER",COMPATIBLE_WITH_CORRECTION,"#163 + #182","No mapear automáticamente a CONFIRMAR","CONFIRMAR solo si hay cierre funcional real"
DG-05,"system paused","B3 + UI",COMPATIBLE,"#182","Separar de voice paused","Puede activar PAUSA B3"
DG-06,"speech starting","VOICE_LAYER",COMPATIBLE,"#163 + adenda","Energía 0 hasta audio real","No cambia B3"
DG-07,"speech speaking","VOICE_LAYER",COMPATIBLE,"#163 + adenda","Confinar voz a canal independiente","No cambia B3"
DG-08,"speech paused","VOICE_LAYER",COMPATIBLE_WITH_CLARIFICATION,"#163 + adenda","Energía 0; no PAUSA B3 automática","B3 permanece en su función"
DG-09,"speech ended","VOICE_LAYER",COMPATIBLE,"#163","Energía 0","B3 independiente"
DG-10,"speech error","VOICE_LAYER",COMPATIBLE,"#163","Energía 0 + UI error","No crear ERROR B3"
DG-11,"voice_reactive","VOICE_LAYER",COMPATIBLE_WITH_SCOPE,"#163 + adenda","Solo ondas de voz","Nunca deformar geometría B3 por fonemas/amplitud"
DG-12,"boundary/fallback cadence","VOICE_LAYER",COMPATIBLE_WITH_SCOPE,"#163 + adenda","Solo voice_energy/ondas","No significado B3"
DG-13,"processing motion","UI/LEGACY_MOTION",SUPERSEDED_FOR_B3,"#182 + futura 3B","No usar como motion B3","3B definirá movimiento"
DG-14,"uncertain / risk / human_handoff","SAFETY_LAYER",COMPATIBLE,"#163","Mantener separado","Protección no crea B3 emocional"
DG-15,"low_intensity","UI_PREFERENCE",COMPATIBLE,"#163","Sin cambio","Conservar también en protección"
DG-16,"collapsed / hidden","CONTAINER",COMPATIBLE,"#163","Sin cambio","No es B3"
DG-17,"data-cognitive-state legacy","LEGACY",SUPERSEDED,"#181 + #182","No es núcleo B3 ni estado de persona","No implementar como gramática B3"
DG-18,"rings / precession legacy timings","LEGACY_MOTION",SUPERSEDED_FOR_B3,"futura 3B","No normativo para cinco keyframes","No anticipar 3B"
DG-19,"reduced motion","MOTION_PREFERENCE",COMPATIBLE,"#163 + #182","Voz y texto permanecen; B3 estático","No perder información"
DG-20,"AI identity / no anthropomorphism","IDENTITY_A11Y",COMPATIBLE_WITH_CLARIFICATION,"#181 + adenda","No representar emoción/persona","Mantener identificador textual de IA"
