ID;Responsable;Estado_con_evidencia;Entregado_o_confirmado;Pendiente;ES_EN;Limites
WEB-A2;María y agente 2;TRABAJO_CONFIRMADO_POR_MARIA;Subidas e integración de la web dirigidas por María;Su propio registro de entregas vigentes;Obligatorio para todo contenido público afectado;No tocar su rama ni sustituir su web
DESIGN;María y Design;COORDINACION_CONFIRMADA_POR_MARIA;Adaptación dirigida por María;Entregas concretas bajo su control;Obligatorio para recursos e imprimibles publicados;130 juegos antiguos excluidos
R37;Codex;CANDIDATO_TECNICO_RECIBIDO;HEAD c23abd9a3ef082a6ed646b03334fe9031b17af15;Revisión visual de María y comprobaciones manuales pendientes;No acreditar EN sin evidencia de la superficie;No rediseño ni estados extra
R38;Codex;BIBLIOTECA_SELLADA_CONSERVADA_SEGUN_ENTREGA_R39_R02;HEAD ddd12ed4e002812f5c53e24618c029be9faf9e00 y deploy 6ab4c1a15435b93043ab3f6d conservados;Preservar biblioteca y comprobar acceso desde Function R39 mediante HTTP autorizado;Corpus ES sellado no es corpus EN;Corpus inmutable y sin inferencia
R39;Codex;R03_IMPLEMENTADO_DRAFT_READY_HTTP_PENDIENTE;HEAD 3131d55020057c55567a3457900afc888876de5d - deploy 6ab504fbf5d403147f6de213 - 227/227 por runtime Node22/24 - EVIDENCIAS/R39_CODEX_R03/INFORME.md;HTTP Team Login y acceso runtime cross-deploy - transporte autorizado y montaje A2;UI ES/EN probada - citas ES con lang - corpus ES sellado;No HTTP remoto acreditado ni montaje A2 - R02 y R38 conservados - sin producción voz inferencia main
R39-A1;Agente 1;INTEGRADO_EN_PUENTE_R03_VERIFICADO_LOCAL_BROWSER;Donante b0a55cb3 exacto integrado en 3131d55020057c55567a3457900afc888876de5d - 8 originales y composición bridge/panel;Montaje A2 y transporte autorizado;Sin copy propio - citas ES intactas;Aceptación de módulo no acredita montaje web - conservar candidatos crudos
R39-A3;Codex por reasignación explícita de María;CORREGIDO_INTEGRADO_R03_MONTAJE_A2_PENDIENTE;Donante f5c7d4fb conservado - corrección en 3131d55020057c55567a3457900afc888876de5d - 25 pruebas panel/composición y QA navegador;Montaje sobre HEAD vigente A2 y transporte real autorizado;UI y anuncios ES/EN - lang es de enlaces y citas;No credenciales ni ruta Cloud cliente - no estilos o páginas globales
R39-A4;Agente 4;REVISADO_NO_SUSTITUIR_SOLUCION_CODEX;HEAD e58c343e661a713f8dcececae722caec448b6816 - 8/8 originales reproducidas con mapeo real R39;Evidencia C17 - no reimplementar ni cherry-pick sobre wrapper integrado;Errores públicos traducidos en consumidor ES EN;Códigos y exports distintos a Codex - conservar como aporte histórico
R39-A5;Agente 5;REVISADO_NO_ANADIR_TRANSPORTE_DUPLICADO;HEAD de31ae038f2496e4644356404535105d41b208c2 - 6/6 originales reproducidas con fábrica inyectada;HTTP autorizado dentro de permisos - no exigir que Codex satisfaga gate histórico del build;Contrato interno compatible con ES EN no traduce corpus;No prueba de SDK real o Node24 de este módulo - sin otro draft o bootstrap
