id,problema,estado_actual,decision_propuesta,accion,ids_afectados,fuente,motivo,resultado_final_propuesto
es-transporte-familia-numerosa,Señal previa revisada; no bloquea la migración del recurso,PERMANENTE,READY,mantener,es-transporte-familia-numerosa,https://sede.transportes.gob.es/areas-actividad/transporte-terrestre/ayudas-subvenciones-sector-transporte-terrestre/liquidacion-bonificaciones-transporte-ferroviario-miembros-familias-numerosas,"Base original: El título de familia numerosa da derecho a reducciones en determinados transportes ferroviarios, por carretera y otros servicios regulados por la normativa estatal. | Quién: Miembros de familias con título de familia numerosa vigente, según categoría y condiciones del operador o servicio. | Documentos: Título o carné de familia numerosa vigente y documento de identidad; el operador puede exigir acreditación en la compra o durante el viaje. | Nota: Puede acumularse con otras reducciones cuando la normativa o las condiciones del título lo permiten; debe comprobarse en el operador concreto. | Cuantía: 20 % categoría general · 50 % categoría especial en los transportes previstos legalmente | La URL oficial está orientada a la liquidación a empresas ferroviarias; proponer enlace ciudadano complementario sin eliminar trazabilidad legal.",Migrar manteniendo el estado verificado y la fuente; aplicar cambios de URL aprobados cuando corresponda
and-alquiler,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,and-alquiler (program_id actual) | call_id(s) por definir tras separación,https://www.juntadeandalucia.es/temas/vivienda-consumo/alquiler/ayudas.html,"Base original: Portal autonómico que reúne las líneas de ayuda al alquiler y las medidas específicas para determinados colectivos y situaciones de vulnerabilidad. | Quién: Personas o familias residentes en Andalucía que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | El recurso mezcla varias líneas de alquiler. Proponer dividir por convocatoria antes de asignar un estado temporal único. Potencialmente engañoso si se presenta como una ayuda concreta.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
and-infantil-03,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,and-infantil-03 (program_id actual) | call_id(s) por definir tras separación,https://www.juntadeandalucia.es/educacion/portales/web/escolarizacion/0-a-3-anos,"Base original: Apoyo a la escolarización del primer ciclo de Educación Infantil, con bonificaciones o gratuidad según las circunstancias familiares y económicas. | Quién: Personas o familias residentes en Andalucía que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | La fuente 2026-2027 confirma escolarización ordinaria 1–30/04/2026, pero la fila mezcla admisión y ayuda a familias. Proponer separar programa de escolarización y ayuda/bonificación.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
ara-temprana-espera,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,ara-temprana-espera (program_id actual) | call_id(s) por definir tras separación,https://www.aragon.es/tramitador/-/tramite/ayudas-individuales-para-atencion-temprana,"Base original: Ayuda individual para financiar temporalmente atención privada cuando el menor tiene reconocida la necesidad pero no hay plaza o recurso público disponible. | Quién: Menor con reconocimiento de atención temprana, plaza pública solicitada y falta de recurso disponible. | Documentos: Resolución/reconocimiento, acreditación de espera y gasto o presupuesto privado. | Nota: Incompatible con otra ayuda de la misma naturaleza y finalidad. | Cuantía: Según convocatoria | La vía de pago indirecto a entidades figura con plazo 21/05/2026–15/11/2026, mientras la vía de pago directo a ciudadanos aparece fuera de plazo. La fila actual no distingue ambas modalidades; proponer división.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
ara-vivienda-ayudas,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,ara-vivienda-ayudas (program_id actual) | call_id(s) por definir tras separación,https://www.aragon.es/tramites/vivienda-urbanismo/ayudas-subvenciones-vivienda-urbanismo,"Base original: Catálogo oficial de líneas autonómicas de vivienda, alquiler, rehabilitación y otros apoyos residenciales disponibles según convocatoria. | Quién: Personas o familias residentes en Aragón que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | No es una ayuda única. Proponer dividir por programa/convocatoria y conservar esta página solo como recurso informativo.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
ara-transporte-comedor,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,ara-transporte-comedor,https://www.aragon.es/tramitador/-/tramite/ayudas-individualizadas-de-transporte-y-comedor-escolar,"Base original: Ayudas para alumnado que, por sus circunstancias de escolarización, necesita apoyo individual para desplazamiento o comedor. | Quién: Personas o familias residentes en Aragón que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | La página oficial muestra convocatorias anteriores y necesita contraste adicional antes de afirmar el estado del curso actual.",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
ast-alquiler,"La fila mezcla programa estable, portal agregador o varias convocatorias/modalidades con distinta vigencia",POR VERIFICAR,HOLD_MODELING,dividir,ast-alquiler (program_id actual) | call_id(s) por definir tras separación,https://socialasturias.asturias.es/ayudas-directas-al-alquiler-de-vivienda,"Base original: Información sobre ayudas autonómicas para facilitar el pago del alquiler de la vivienda habitual conforme a las convocatorias aplicables. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente | La ficha describe una prestación periódica pero declara que requisitos y plazo dependen de convocatorias. Proponer dividir por convocatoria vigente.",No migrar como ficha única: definir programa estable y convocatoria(s) con periodos separados
mallorca-ayudas-discapacidad-2026,"La ficha es migrable, pero conviene aplicar la sustitución de URL con trazabilidad",CERRADO,READY,mantener,mallorca-ayudas-discapacidad-2026,https://www.conselldemallorca.es/es/todas-las-noticias/-/asset_publisher/bqOupoVYvgPA/content/l-imas-inicia-la-tramitaci%C3%B3-de-560-sol%C2%B7licituds-d-ajudes-per-refor%C3%A7ar-el-benestar-de-les-persones-amb-discapacitat/695139,"Base original: Convocatoria del IMAS destinada a reforzar el bienestar de personas con discapacidad y apoyar a las familias cuidadoras, incluyendo una línea de respiro familiar. | Quién: Personas con discapacidad residentes en Mallorca que cumplan los requisitos de la convocatoria del IMAS. | Documentos: Solicitud y documentación de discapacidad, residencia, unidad familiar y gasto o servicio subvencionable según las bases. | Nota: Debe revisarse cada concepto subvencionable para evitar financiar dos veces el mismo gasto. | Cuantía: Cuantía según gasto y convocatoria; presupuesto total de 600.000 € | La fuente institucional de 16/05/2026 dice que el plazo ya había finalizado y se tramitaban 560 solicitudes. Proponer sustituir URL, manteniendo trazabilidad.",Migrar manteniendo el estado verificado y la fuente; aplicar cambios de URL aprobados cuando corresponda
eivissa-prestaciones-discapacidad,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,eivissa-prestaciones-discapacidad,https://idis.conselldeivissa.es/es/inclusion/perros-de-asistencia/,"Base original: Prestaciones económicas de concurrencia para afrontar tratamientos u otros gastos relacionados con limitaciones físicas, psíquicas o sensoriales y facilitar la vida diaria de personas con discapacidad con recursos insuficientes. | Quién: Personas residentes en Eivissa, normalmente menores de 65 años, con discapacidad reconocida igual o superior al 33 % o situaciones de incapacidad equiparadas, que cumplan los requisitos económicos de la convocatoria. | Documentos: Solicitud anual, acreditación de discapacidad o incapacidad, residencia, ingresos y presupuesto/factura del tratamiento, producto o gasto solicitado. | Nota: Se dirigen a necesidades que la persona no puede cubrir con recursos propios ni obtener de otras fuentes; debe evitarse la doble financiación del mismo concepto. | Cuantía: Cuantía según convocatoria anual, gasto y recursos económicos | Fuente oficial pero ruta temática incorrecta para una ayuda económica. Proponer localizar y usar convocatoria 2026 concreta antes de asignar estado.",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
menorca-ayudas-individuales-discapacidad,La fuente oficial no permite justificar todavía una vigencia/modelo suficientemente preciso,POR VERIFICAR,HOLD_VERIFY,verificar,menorca-ayudas-individuales-discapacidad,https://oposicions.cime.es/GesServeis/Gestion.aspx?IDDEPARTAMENT=55&IDGESTION=990100885,"Base original: El catálogo insular contempla ayudas económicas individuales para personas con discapacidad destinadas a cubrir necesidades sociosanitarias y productos o gastos vinculados a su autonomía. | Quién: Personas empadronadas en Menorca, normalmente menores de 65 años, con discapacidad reconocida igual o superior al 33 % o situaciones de incapacidad equiparadas, sujetas a límites de ingresos de la convocatoria. | Documentos: Solicitud, acreditación de discapacidad o incapacidad, empadronamiento, documentación económica y presupuesto/factura del gasto solicitado. | Nota: No debe existir doble financiación del mismo gasto; cada convocatoria concreta límites, gastos admitidos y relación con otras ayudas. | Cuantía: Cuantía según convocatoria específica y gasto subvencionable",Mantener en corpus con estado POR VERIFICAR; excluir de Abiertas ahora hasta nueva comprobación
